ticker,date,period_ending,estimate,reported,surprise,surprise%
A,2024-11-25,2024-10-31,1.41,1.46,0.05,3.5461
AA,2024-10-16,2024-09-30,0.28,0.57,0.29,103.5714
AAL,2024-10-24,2024-09-30,0.16,0.3,0.14,87.5
AAMI,2024-10-31,2024-09-30,0.48,0.59,0.11,22.9167
AAOI,2024-11-07,2024-09-30,-0.17,-0.21,-0.04,-23.5294
AAON,2024-11-07,2024-09-30,0.57,0.63,0.06,10.5263
AAP,2024-11-14,2024-09-30,0.53,-0.04,-0.57,-107.5472
AAPL,2024-10-31,2024-09-30,1.6,1.64,0.04,2.5
AAT,2024-10-29,2024-09-30,0.29,0.28,-0.01,-3.4483
ABBV,2024-10-30,2024-09-30,2.92,3,0.08,2.7397
ABCB,2024-10-24,2024-09-30,1.25,1.38,0.13,10.4
ABG,2024-10-29,2024-09-30,6.58,6.35,-0.23,-3.4954
ABM,2024-12-11,2024-10-31,0.8715,0.9,0.0285,3.2702
ABNB,2024-11-07,2024-09-30,2.14,2.13,-0.01,-0.4673
ABR,2024-11-01,2024-09-30,0.4,0.43,0.03,7.5
ABSI,2024-11-12,2024-09-30,-0.21,-0.2412,-0.0312,-14.8571
ABT,2024-10-16,2024-09-30,1.2,1.21,0.01,0.8333
ABUS,2024-11-06,2024-09-30,-0.09,-0.09,0,0
ACA,2024-10-30,2024-09-30,0.86,0.91,0.05,5.814
ACAD,2024-11-06,2024-09-30,0.14,0.2,0.06,42.8571
ACCO,2024-10-31,2024-09-30,0.23,0.23,0,0
ACDC,2024-11-05,2024-09-30,-0.1445,-0.1054,0.0391,27.0588
ACEL,2024-10-30,2024-09-30,0.2,0.22,0.02,10
ACGL,2024-10-30,2024-09-30,1.96,1.99,0.03,1.5306
ACHC,2024-10-30,2024-09-30,0.9,0.91,0.01,1.1111
ACHR,2024-11-07,2024-09-30,-0.32,-0.29,0.03,9.375
ACI,2025-01-07,2024-11-30,0.66,0.71,0.05,7.5758
ACIC,2024-11-06,2024-09-30,0.35,0.54,0.19,54.2857
ACIW,2024-11-07,2024-09-30,0.42,0.77,0.35,83.3333
ACLS,2024-11-06,2024-09-30,1.43,1.49,0.06,4.1958
ACLX,2024-11-08,2024-09-30,-0.2447,-0.48,-0.2353,-96.1586
ACM,2024-11-11,2024-09-30,1.2465,1.27,0.0235,1.8853
ACMR,2024-11-07,2024-09-30,0.37,0.63,0.26,70.2703
ACN,2024-12-19,2024-11-30,3.42,3.59,0.17,4.9708
ACNB,2024-10-24,2024-09-30,0.92,0.84,-0.08,-8.6957
ACRE,2024-11-07,2024-09-30,0.04,-0.11,-0.15,-375
ACT,2024-11-07,2024-09-30,1.0866,1.16,0.0734,6.755
ACTG,2024-11-12,2024-09-30,0.01,-0.1402,-0.1502,-1502
ACVA,2024-11-07,2024-09-30,-0.11,-0.1,0.01,9.0909
ADBE,2024-12-11,2024-11-30,4.66,4.81,0.15,3.2189
ADC,2024-10-22,2024-09-30,0.43,0.42,-0.01,-2.3256
ADCT,2024-11-07,2024-09-30,-0.38,-0.42,-0.04,-10.5263
ADEA,2024-11-07,2024-09-30,0.39,0.27,-0.12,-30.7692
ADI,2024-11-19,2024-10-31,1.64,1.67,0.03,1.8293
ADM,2024-11-05,2024-09-30,1.24,1.09,-0.15,-12.0968
ADMA,2024-11-07,2024-09-30,0.13,0.15,0.02,15.3846
ADNT,2024-11-08,2024-09-30,0.52,0.68,0.16,30.7692
ADP,2024-10-30,2024-09-30,2.21,2.33,0.12,5.4299
ADPT,2024-11-07,2024-09-30,-0.29,-0.22,0.07,24.1379
ADSK,2024-11-19,2024-10-31,2.12,2.17,0.05,2.3585
ADT,2024-10-24,2024-09-30,0.17,0.2,0.03,17.6471
ADTN,2024-11-06,2024-09-30,-0.04,-0.05,-0.01,-25
ADUS,2024-11-04,2024-09-30,1.28,1.3,0.02,1.5625
ADV,2024-11-07,2024-09-30,0.11,-0.1332,-0.2432,-221.0909
