ticker,date,period_ending,estimate,reported,surprise,surprise%
AVBP,2024-11-14,2024-09-30,-1.0671,-0.61,0.4571,42.8357
AVD,2024-11-06,2024-09-30,-0.09,-0.92,-0.83,-922.2222
AVDL,2024-11-06,2024-09-30,-0.05,-0.0273,0.0227,45.4
AVDX,2024-11-06,2024-09-30,0.0661,0.07,0.0039,5.9002
AVGO,2024-12-12,2024-10-31,1.39,1.42,0.03,2.1583
AVIR,2024-11-07,2024-09-30,-0.49,-0.37,0.12,24.4898
AVTE,2024-11-14,2024-09-30,-0.17,-0.56,-0.39,-229.4118
AVNS,2024-10-30,2024-09-30,0.35,0.36,0.01,2.8571
AVNT,2024-10-31,2024-09-30,0.63,0.65,0.02,3.1746
AVNW,2024-11-05,2024-09-30,-0.03,0.72,0.75,2500
AVO,2024-12-19,2024-10-31,0.08,0.28,0.2,250
WWD,2024-11-25,2024-09-30,1.26,1.41,0.15,11.9048
WWW,2024-11-07,2024-09-30,0.21,0.285,0.075,35.7143
WY,2024-10-24,2024-09-30,0.01,0.05,0.04,400
WYNN,2024-11-04,2024-09-30,1.01,0.9,-0.11,-10.8911
X,2024-10-31,2024-09-30,0.47,0.56,0.09,19.1489
XEL,2024-10-31,2024-09-30,1.26,1.25,-0.01,-0.7937
XERS,2024-11-08,2024-09-30,-0.09,-0.11,-0.02,-22.2222
XFOR,2024-11-13,2024-09-30,-0.17,-0.18,-0.01,-5.8824
XHR,2024-11-06,2024-09-30,-0.08,-0.07,0.01,12.5
XMTR,2024-11-05,2024-09-30,-0.0521,0.02,0.0721,138.3877
XNCR,2024-11-05,2024-09-30,-0.98,-0.71,0.27,27.551
XOM,2024-11-01,2024-09-30,1.88,1.92,0.04,2.1277
XP,2024-11-20,2024-09-30,2.1693,2.18,0.0107,0.4932
XPEL,2024-11-07,2024-09-30,0.51,0.54,0.03,5.8824
XPER,2024-11-06,2024-09-30,0.18,0.51,0.33,183.3333
XPO,2024-10-30,2024-09-30,0.91,1.02,0.11,12.0879
XPOF,2024-11-07,2024-09-30,0.27,-0.04,-0.31,-114.8148
XPRO,2024-10-24,2024-09-30,0.2652,0.23,-0.0352,-13.273
XRAY,2024-11-07,2024-09-30,0.47,0.5,0.03,6.383
XRX,2024-10-22,2024-09-30,0.54,0.25,-0.29,-53.7037
XYL,2024-10-31,2024-09-30,1.11,1.11,0,0
XYZ,2024-11-07,2024-09-30,0.87,0.88,0.01,1.1494
YELP,2024-11-07,2024-09-30,0.42,0.56,0.14,33.3333
YETI,2024-11-07,2024-09-30,0.67,0.71,0.04,5.9701
YEXT,2024-12-03,2024-10-31,0.12,0.12,0,0
YMAB,2024-11-08,2024-09-30,-0.15,-0.16,-0.01,-6.6667
YORW,2024-11-04,2024-09-30,0.41,0.41,0,0
YOU,2024-11-07,2024-09-30,0.3298,0.3,-0.0298,-9.0358
YUM,2024-11-05,2024-09-30,1.41,1.37,-0.04,-2.8369
Z,2024-11-06,2024-09-30,0.29,0.35,0.06,20.6897
ZBH,2024-10-30,2024-09-30,1.74,1.74,0,0
ZBRA,2024-10-29,2024-09-30,3.24,3.49,0.25,7.716
ZD,2024-11-07,2024-09-30,1.51,1.64,0.13,8.6093
ZETA,2024-11-12,2024-09-30,0.1661,0.1586,-0.0075,-4.5154
ZEUS,2024-10-31,2024-09-30,0.31,0.23,-0.08,-25.8065
ZG,2024-11-06,2024-09-30,0.29,0.35,0.06,20.6897
ZI,2024-11-13,2024-09-30,0.2207,0.28,0.0593,26.8691
ZIMV,2024-10-31,2024-09-30,0.0945,0.12,0.0255,26.9841
ZION,2024-10-21,2024-09-30,1.17,1.37,0.2,17.094
ZIP,2024-11-07,2024-09-30,0.0647,0.0635,-0.0012,-1.8547
ZM,2024-11-25,2024-10-31,1.31,1.38,0.07,5.3435
ZNTL,2024-11-04,2024-09-30,-0.8708,-0.56,0.3108,35.6913
ZS,2024-12-02,2024-10-31,0.63,0.77,0.14,22.2222
ZTS,2024-11-04,2024-09-30,1.45,1.58,0.13,8.9655
ZUMZ,2024-12-06,2024-11-30,0.0267,0.06,0.0333,124.7191
ZVRA,2024-11-12,2024-09-30,-0.42,-0.69,-0.27,-64.2857
ZWS,2024-10-29,2024-09-30,0.32,0.34,0.02,6.25
ZYME,2024-10-31,2024-09-30,-0.4,-0.39,0.01,2.5
ZYXI,2024-10-24,2024-09-30,0.06,0.07,0.01,16.6667
IWV,2024-12-17,2024-09-30,0,0,0,0
