ticker,date,period_ending,estimate,reported,surprise,surprise%
GBTG,2024-11-05,2024-09-30,-0.0004,-0.0952,-0.0948,-23700
LILA,2024-11-06,2024-09-30,0.02,-2.22,-2.24,-11200
LILAK,2024-11-06,2024-09-30,-0.02,-2.22,-2.2,-11000
PTEN,2024-10-23,2024-09-30,0.03,-2.5,-2.53,-8433.3333
BOOM,2024-11-04,2024-09-30,0.01,-0.49,-0.5,-5000
NPKI,2024-11-08,2024-09-30,0.06,-1.9922,-2.0522,-3420.3333
FCEL,2024-12-19,2024-10-31,-0.0631,-1.9852,-1.9221,-3046.1173
IPGP,2024-10-29,2024-09-30,0.19,-5.33,-5.52,-2905.2632
MPW,2024-11-07,2024-09-30,0.05,-1.34,-1.39,-2780
ANIK,2024-10-31,2024-09-30,-0.01,-0.25,-0.24,-2400
INTC,2024-10-31,2024-09-30,-0.02,-0.46,-0.44,-2200
BDN,2024-10-22,2024-09-30,0.05,-0.96,-1.01,-2020
PKST,2024-10-30,2024-09-30,-0.04,-0.67,-0.63,-1575
ACTG,2024-11-12,2024-09-30,0.01,-0.1402,-0.1502,-1502
NEO,2024-11-05,2024-09-30,0.01,-0.1394,-0.1494,-1494
IHRT,2024-11-07,2024-09-30,0.02,-0.27,-0.29,-1450
RIG,2024-10-30,2024-09-30,-0.04,-0.5849,-0.5449,-1362.25
IAC,2024-11-11,2024-09-30,-0.22,-2.93,-2.71,-1231.8182
CORZ,2024-11-06,2024-09-30,-0.09,-1.1742,-1.0842,-1204.6667
MOFG,2024-10-24,2024-09-30,0.56,-6.05,-6.61,-1180.3571
MSTR,2024-10-30,2024-09-30,-0.14,-1.72,-1.58,-1128.5714
TWI,2024-10-30,2024-09-30,0.02,-0.19,-0.21,-1050
FWRD,2024-11-04,2024-09-30,-0.16,-1.74,-1.58,-987.5
AIOT,2024-11-12,2024-09-30,-0.02,-0.21,-0.19,-950
AVD,2024-11-06,2024-09-30,-0.09,-0.92,-0.83,-922.2222
MAC,2024-11-06,2024-09-30,-0.05,-0.5,-0.45,-900
HTZ,2024-11-04,2024-09-30,-0.5,-4.3388,-3.8388,-767.76
BJRI,2024-10-31,2024-09-30,0.02,-0.13,-0.15,-750
SPR,2024-10-30,2024-09-30,-0.37,-3.03,-2.66,-718.9189
AMBC,2024-11-12,2024-09-30,0.08,-0.46,-0.54,-675
TRC,2024-11-05,2024-09-30,-0.01,-0.07,-0.06,-600
CRSR,2024-11-06,2024-09-30,0.06,-0.29,-0.35,-583.3333
ATRO,2024-11-06,2024-09-30,0.08,-0.34,-0.42,-525
SLM,2024-10-23,2024-09-30,0.06,-0.23,-0.29,-483.3333
OLN,2024-10-24,2024-09-30,0.04,-0.15,-0.19,-475
LBTYA,2024-10-29,2024-09-30,-0.69,-3.95,-3.26,-472.4638
BTBT,2024-11-12,2024-09-30,-0.02,-0.1128,-0.0928,-464
TPIC,2024-11-07,2024-09-30,-0.15,-0.84,-0.69,-460
LBTYK,2024-10-29,2024-09-30,-0.71,-3.95,-3.24,-456.338
CVI,2024-10-28,2024-09-30,-0.09,-0.5,-0.41,-455.5556
VYX,2024-11-07,2024-09-30,-0.05,7.414,7.464,14928
SITC,2024-10-30,2024-09-30,-0.09,6.07,6.16,6844.4444
ANGI,2024-11-11,2024-09-30,-0.0013,0.07,0.0713,5484.6154
ONTF,2024-11-07,2024-09-30,-0.0007,0.02,0.0207,2957.1429
LUNR,2024-11-14,2024-09-30,-0.01,0.2462,0.2562,2562
AVNW,2024-11-05,2024-09-30,-0.03,0.72,0.75,2500
PEB,2024-11-07,2024-09-30,-0.01,0.24,0.25,2500
DAVE,2024-11-12,2024-09-30,-0.11,1.51,1.62,1472.7273
TGI,2024-11-04,2024-09-30,0.01,0.1527,0.1427,1427
CDNA,2024-11-04,2024-09-30,0.01,0.14,0.13,1300
UNFI,2024-12-04,2024-10-31,-0.0146,0.16,0.1746,1195.8904
BMBL,2024-11-06,2024-09-30,0.19,2.33,2.14,1126.3158
TALO,2024-11-04,2024-09-30,-0.05,0.4883,0.5383,1076.6
RIGL,2024-11-07,2024-09-30,0.06,0.7,0.64,1066.6667
ORGO,2024-11-12,2024-09-30,-0.01,0.0966,0.1066,1066
CTO,2024-10-24,2024-09-30,-0.02,0.17,0.19,950
SDRL,2024-11-25,2024-09-30,0.0538,0.54,0.4862,903.7175
AUPH,2024-11-07,2024-09-30,0.01,0.1,0.09,900
M,2024-12-11,2024-10-31,-0.0053,0.04,0.0453,854.717
LUV,2024-10-24,2024-09-30,-0.02,0.15,0.17,850
NYMT,2024-10-30,2024-09-30,0.04,0.36,0.32,800
RGP,2025-01-01,2024-11-30,0.02,0.18,0.16,800
BYRN,2025-02-12,2024-11-30,0.05,0.4443,0.3943,788.6
CRMT,2024-12-03,2024-10-31,-0.09,0.61,0.7,777.7778
WEAV,2024-10-31,2024-09-30,-0.0049,0.03,0.0349,712.2449
HIMS,2024-11-04,2024-09-30,0.04,0.32,0.28,700
INSP,2024-11-04,2024-09-30,0.08,0.6,0.52,650
HHH,2024-11-04,2024-09-30,0.2,1.46,1.26,630
CVGI,2024-11-04,2024-09-30,0.04,0.2844,0.2444,611
